timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741680388945,11,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,54,54,http://localhost:8080/authentication/register,11,0,2
1741680388857,65,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,51,51,http://localhost:8080/authentication/register,65,0,19
1741680388825,100,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,282,52,52,http://localhost:8080/authentication/register,100,0,51
1741680388827,93,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,51,51,http://localhost:8080/authentication/register,93,0,51
1741680388827,98,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,52,52,http://localhost:8080/authentication/register,98,0,47
1741680388825,94,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,288,51,51,http://localhost:8080/authentication/register,94,0,48
1741680388826,93,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,51,51,http://localhost:8080/authentication/register,93,0,48
1741680388915,11,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,52,52,http://localhost:8080/authentication/register,11,0,1
1741680388841,77,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,52,52,http://localhost:8080/authentication/register,77,0,32
1741680388932,12,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,53,53,http://localhost:8080/authentication/register,12,0,2
1741680388827,98,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,298,52,52,http://localhost:8080/authentication/register,98,0,47
1741680388871,47,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,52,52,http://localhost:8080/authentication/register,47,0,3
1741680388827,91,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,51,51,http://localhost:8080/authentication/register,91,0,48
1741680388902,19,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,51,51,http://localhost:8080/authentication/register,19,0,0
1741680388827,98,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,52,52,http://localhost:8080/authentication/register,98,0,47
1741680388827,97,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,52,52,http://localhost:8080/authentication/register,97,0,47
1741680388825,100,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,52,52,http://localhost:8080/authentication/register,100,0,50
1741680388886,33,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,51,51,http://localhost:8080/authentication/register,33,0,1
1741680388827,94,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,51,51,http://localhost:8080/authentication/register,94,0,47
1741680388962,13,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,55,55,http://localhost:8080/authentication/register,12,0,0
1741680388827,91,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,51,51,http://localhost:8080/authentication/register,91,0,47
1741680388974,6,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,55,55,http://localhost:8080/authentication/register,6,0,1
1741680388990,6,14 Register Request,201,Created,User Thread Group 1-23,text,true,,287,286,56,56,http://localhost:8080/authentication/register,6,0,1
1741680389005,7,14 Register Request,201,Created,User Thread Group 1-24,text,true,,287,290,57,57,http://localhost:8080/authentication/register,6,0,2
1741680389020,8,14 Register Request,201,Created,User Thread Group 1-25,text,true,,287,301,58,58,http://localhost:8080/authentication/register,8,0,2
1741680389035,14,14 Register Request,201,Created,User Thread Group 1-26,text,true,,287,291,60,60,http://localhost:8080/authentication/register,14,0,1
1741680389051,8,14 Register Request,201,Created,User Thread Group 1-27,text,true,,287,286,61,61,http://localhost:8080/authentication/register,8,0,1
1741680389066,9,14 Register Request,201,Created,User Thread Group 1-28,text,true,,287,281,62,62,http://localhost:8080/authentication/register,9,0,2
1741680389081,12,14 Register Request,201,Created,User Thread Group 1-29,text,true,,287,287,63,63,http://localhost:8080/authentication/register,12,0,1
1741680389096,10,14 Register Request,201,Created,User Thread Group 1-30,text,true,,287,272,64,64,http://localhost:8080/authentication/register,10,0,1
1741680389111,6,14 Register Request,201,Created,User Thread Group 1-31,text,true,,287,293,64,64,http://localhost:8080/authentication/register,6,0,0
1741680389125,6,14 Register Request,201,Created,User Thread Group 1-32,text,true,,287,275,65,65,http://localhost:8080/authentication/register,6,0,1
1741680389141,10,14 Register Request,201,Created,User Thread Group 1-33,text,true,,287,280,67,67,http://localhost:8080/authentication/register,10,0,1
1741680389155,11,14 Register Request,201,Created,User Thread Group 1-34,text,true,,287,270,68,68,http://localhost:8080/authentication/register,11,0,1
1741680389171,8,14 Register Request,201,Created,User Thread Group 1-35,text,true,,287,280,69,69,http://localhost:8080/authentication/register,8,0,1
1741680389185,9,14 Register Request,201,Created,User Thread Group 1-36,text,true,,287,278,70,70,http://localhost:8080/authentication/register,9,0,1
1741680389202,7,14 Register Request,201,Created,User Thread Group 1-37,text,true,,287,291,71,71,http://localhost:8080/authentication/register,7,0,1
1741680389216,6,14 Register Request,201,Created,User Thread Group 1-38,text,true,,287,280,71,71,http://localhost:8080/authentication/register,6,0,1
1741680389232,7,14 Register Request,201,Created,User Thread Group 1-39,text,true,,287,284,73,73,http://localhost:8080/authentication/register,7,0,0
1741680389248,7,14 Register Request,201,Created,User Thread Group 1-40,text,true,,287,266,74,74,http://localhost:8080/authentication/register,7,0,1
1741680389261,6,14 Register Request,201,Created,User Thread Group 1-41,text,true,,287,296,74,74,http://localhost:8080/authentication/register,6,0,0
1741680389275,14,14 Register Request,201,Created,User Thread Group 1-42,text,true,,287,285,76,76,http://localhost:8080/authentication/register,14,0,1
1741680389289,8,14 Register Request,201,Created,User Thread Group 1-43,text,true,,287,279,76,76,http://localhost:8080/authentication/register,8,0,1
1741680389305,7,14 Register Request,201,Created,User Thread Group 1-44,text,true,,287,291,77,77,http://localhost:8080/authentication/register,7,0,1
1741680389321,9,14 Register Request,201,Created,User Thread Group 1-45,text,true,,287,285,79,79,http://localhost:8080/authentication/register,9,0,2
1741680389335,6,14 Register Request,201,Created,User Thread Group 1-46,text,true,,287,273,79,79,http://localhost:8080/authentication/register,6,0,1
1741680389351,6,14 Register Request,201,Created,User Thread Group 1-47,text,true,,287,289,80,80,http://localhost:8080/authentication/register,6,0,1
1741680389364,5,14 Register Request,201,Created,User Thread Group 1-48,text,true,,287,290,81,81,http://localhost:8080/authentication/register,5,0,1
1741680389381,9,14 Register Request,201,Created,User Thread Group 1-49,text,true,,287,291,83,83,http://localhost:8080/authentication/register,9,0,1
1741680389404,9,14 Register Request,201,Created,User Thread Group 1-50,text,true,,287,272,84,84,http://localhost:8080/authentication/register,9,0,2
1741680389413,9,14 Register Request,201,Created,User Thread Group 1-51,text,true,,287,293,85,85,http://localhost:8080/authentication/register,9,0,2
1741680389425,7,14 Register Request,201,Created,User Thread Group 1-52,text,true,,287,266,85,85,http://localhost:8080/authentication/register,7,0,1
1741680389442,7,14 Register Request,201,Created,User Thread Group 1-53,text,true,,287,287,87,87,http://localhost:8080/authentication/register,7,0,1
1741680389455,9,14 Register Request,201,Created,User Thread Group 1-54,text,true,,287,287,88,88,http://localhost:8080/authentication/register,9,0,1
1741680389469,14,14 Register Request,201,Created,User Thread Group 1-55,text,true,,287,266,89,89,http://localhost:8080/authentication/register,14,0,1
1741680389475,18,15 Login Request,200,OK,User Thread Group 1-5,text,true,,536,251,90,90,http://localhost:8080/authentication/login,18,0,0
1741680389474,16,15 Login Request,200,OK,User Thread Group 1-7,text,true,,529,247,89,89,http://localhost:8080/authentication/login,16,0,0
