timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741648593043,20,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,54,54,http://localhost:8080/authentication/register,20,0,2
1741648592931,84,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,50,50,http://localhost:8080/authentication/register,84,0,45
1741648592954,62,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,50,50,http://localhost:8080/authentication/register,62,0,22
1741648592930,85,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,50,50,http://localhost:8080/authentication/register,84,0,45
1741648592931,87,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,50,50,http://localhost:8080/authentication/register,87,0,45
1741648592931,86,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,51,51,http://localhost:8080/authentication/register,86,0,43
1741648592930,87,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,288,51,51,http://localhost:8080/authentication/register,87,0,47
1741648592931,87,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,50,50,http://localhost:8080/authentication/register,87,0,43
1741648592930,91,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,51,51,http://localhost:8080/authentication/register,91,0,48
1741648592939,79,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,50,50,http://localhost:8080/authentication/register,79,0,36
1741648593013,26,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,52,52,http://localhost:8080/authentication/register,26,0,1
1741648592930,92,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,51,51,http://localhost:8080/authentication/register,92,0,47
1741648592930,87,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,298,50,50,http://localhost:8080/authentication/register,87,0,44
1741648593000,18,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,50,50,http://localhost:8080/authentication/register,18,0,4
1741648592931,86,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,51,51,http://localhost:8080/authentication/register,86,0,47
1741648592983,32,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,50,50,http://localhost:8080/authentication/register,31,0,3
1741648592931,86,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,282,50,50,http://localhost:8080/authentication/register,84,0,44
1741648593028,22,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,52,52,http://localhost:8080/authentication/register,22,0,1
1741648592967,50,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,50,50,http://localhost:8080/authentication/register,50,0,11
1741648593057,31,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,55,55,http://localhost:8080/authentication/register,31,0,1
1741648593074,20,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,56,56,http://localhost:8080/authentication/register,20,0,0
1741648593087,8,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,56,56,http://localhost:8080/authentication/register,8,0,0
1741648593102,9,14 Register Request,201,Created,User Thread Group 1-23,text,true,,287,286,57,57,http://localhost:8080/authentication/register,9,0,1
1741648593117,12,14 Register Request,201,Created,User Thread Group 1-24,text,true,,287,290,58,58,http://localhost:8080/authentication/register,11,0,1
1741648593134,9,14 Register Request,201,Created,User Thread Group 1-25,text,true,,287,301,59,59,http://localhost:8080/authentication/register,9,0,0
1741648593147,11,14 Register Request,201,Created,User Thread Group 1-26,text,true,,287,291,60,60,http://localhost:8080/authentication/register,11,0,1
1741648593164,13,14 Register Request,201,Created,User Thread Group 1-27,text,true,,287,286,61,61,http://localhost:8080/authentication/register,13,0,1
1741648593179,9,14 Register Request,201,Created,User Thread Group 1-28,text,true,,287,281,62,62,http://localhost:8080/authentication/register,9,0,1
1741648593193,8,14 Register Request,201,Created,User Thread Group 1-29,text,true,,287,287,63,63,http://localhost:8080/authentication/register,8,0,2
1741648593208,14,14 Register Request,201,Created,User Thread Group 1-30,text,true,,287,272,64,64,http://localhost:8080/authentication/register,14,0,6
1741648593223,10,14 Register Request,201,Created,User Thread Group 1-31,text,true,,287,293,65,65,http://localhost:8080/authentication/register,9,0,1
1741648593238,12,14 Register Request,201,Created,User Thread Group 1-32,text,true,,287,275,66,66,http://localhost:8080/authentication/register,12,0,1
1741648593255,11,14 Register Request,201,Created,User Thread Group 1-33,text,true,,287,280,67,67,http://localhost:8080/authentication/register,11,0,1
1741648593267,6,14 Register Request,201,Created,User Thread Group 1-34,text,true,,287,270,67,67,http://localhost:8080/authentication/register,6,0,1
1741648593281,12,14 Register Request,201,Created,User Thread Group 1-35,text,true,,287,280,69,69,http://localhost:8080/authentication/register,12,0,1
1741648593302,10,14 Register Request,201,Created,User Thread Group 1-36,text,true,,287,278,70,70,http://localhost:8080/authentication/register,10,0,2
1741648593312,6,14 Register Request,201,Created,User Thread Group 1-37,text,true,,287,291,70,70,http://localhost:8080/authentication/register,6,0,1
1741648593327,12,14 Register Request,201,Created,User Thread Group 1-38,text,true,,287,280,72,72,http://localhost:8080/authentication/register,12,0,1
1741648593342,10,14 Register Request,201,Created,User Thread Group 1-39,text,true,,287,284,73,73,http://localhost:8080/authentication/register,10,0,1
1741648593357,8,14 Register Request,201,Created,User Thread Group 1-40,text,true,,287,266,74,74,http://localhost:8080/authentication/register,8,0,1
1741648593372,8,14 Register Request,201,Created,User Thread Group 1-41,text,true,,287,296,75,75,http://localhost:8080/authentication/register,8,0,1
1741648593386,15,14 Register Request,201,Created,User Thread Group 1-42,text,true,,287,285,76,76,http://localhost:8080/authentication/register,15,0,1
1741648593401,6,14 Register Request,201,Created,User Thread Group 1-43,text,true,,287,279,76,76,http://localhost:8080/authentication/register,6,0,1
1741648593417,6,14 Register Request,201,Created,User Thread Group 1-44,text,true,,287,291,77,77,http://localhost:8080/authentication/register,6,0,1
1741648593431,8,14 Register Request,201,Created,User Thread Group 1-45,text,true,,287,285,79,79,http://localhost:8080/authentication/register,8,0,1
1741648593446,7,14 Register Request,201,Created,User Thread Group 1-46,text,true,,287,273,79,79,http://localhost:8080/authentication/register,7,0,1
1741648593461,11,14 Register Request,201,Created,User Thread Group 1-47,text,true,,287,289,81,81,http://localhost:8080/authentication/register,11,0,1
1741648593476,8,14 Register Request,201,Created,User Thread Group 1-48,text,true,,287,290,81,81,http://localhost:8080/authentication/register,8,0,2
1741648593491,7,14 Register Request,201,Created,User Thread Group 1-49,text,true,,287,291,82,82,http://localhost:8080/authentication/register,7,0,0
1741648593508,10,14 Register Request,201,Created,User Thread Group 1-50,text,true,,287,272,84,84,http://localhost:8080/authentication/register,10,0,1
1741648593522,7,14 Register Request,201,Created,User Thread Group 1-51,text,true,,287,293,84,84,http://localhost:8080/authentication/register,7,0,2
1741648593536,7,14 Register Request,201,Created,User Thread Group 1-52,text,true,,287,266,85,85,http://localhost:8080/authentication/register,7,0,0
1741648593552,10,14 Register Request,201,Created,User Thread Group 1-53,text,true,,287,287,87,87,http://localhost:8080/authentication/register,10,0,1
1741648593573,14,15 Login Request,200,OK,User Thread Group 1-19,text,true,,536,257,88,88,http://localhost:8080/authentication/login,14,0,0
1741648593574,26,15 Login Request,200,OK,User Thread Group 1-8,text,true,,536,268,89,89,http://localhost:8080/authentication/login,26,0,0
1741648593573,27,15 Login Request,200,OK,User Thread Group 1-13,text,true,,525,242,89,89,http://localhost:8080/authentication/login,27,0,0
1741648593577,23,15 Login Request,200,OK,User Thread Group 1-10,text,true,,519,243,89,89,http://localhost:8080/authentication/login,23,0,0
1741648593579,22,15 Login Request,200,OK,User Thread Group 1-11,text,true,,525,261,89,89,http://localhost:8080/authentication/login,22,0,0
1741648593574,27,15 Login Request,200,OK,User Thread Group 1-4,text,true,,528,250,89,89,http://localhost:8080/authentication/login,26,0,0
1741648593576,26,15 Login Request,200,OK,User Thread Group 1-1,text,true,,535,269,89,89,http://localhost:8080/authentication/login,26,0,0
1741648593577,24,15 Login Request,200,OK,User Thread Group 1-17,text,true,,531,266,89,89,http://localhost:8080/authentication/login,24,0,0
1741648593573,32,15 Login Request,200,OK,User Thread Group 1-2,text,true,,535,264,90,90,http://localhost:8080/authentication/login,32,0,0
1741648593576,30,15 Login Request,200,OK,User Thread Group 1-6,text,true,,527,250,90,90,http://localhost:8080/authentication/login,30,0,0
